"REFERENCE","REFERENCE_AUTHOR","REFERENCE_YEAR","REFERENCE_TITLE","REFERENCE_JOURNAL"
100121,"Štechová T., Holá E., Manukjanová A. et Mikulášková E.",2010,"Distribution and habitat requirements of the moss Hamatocaulis vernicosus (Mitt.) Hedenäs in the Bohemian Forest.","Silva Gabreta, Vimperk, 16: 1-11."
100122,"Blažková D.",2010,"Společenstva s ostřicí třeslicovitou (Carex brizoides) a jejich sukcese.","Silva Gabreta, Vimperk, 16: 13-25."
100123,"Kolbek J.",2011,"Rostlinná společenstva a vyhodnocení změn v přírodní rezervaci Červená louka u Rakovníka v kontextu 45 let.","Muz. Současnost, Roztoky u Prahy, ser. natur., 26: 43-54."
100124,"Rydlo J. et Hroudová Z.",2011,"Příspěvek k poznání současné vegetace vodních makrofyt v okolí bývalých Libkovic.","Muz. Současnost, Roztoky u Prahy, ser. natur., 26: 59-70."
100125,"Zmeškalová J.",2011,"Změny stepní vegetace v modelovém území NPR Oblík.","Muz. Současnost, Roztoky u Prahy, ser. natur., 26: 71-112."
100126,"Rydlo J.",2011,"Regenerace stepní vegetace na Oblíku po geobotanickém výzkumu.","Muz. Současnost, Roztoky u Prahy, ser. natur., 26: 113-120."
100127,"Rydlo J. (jun.), Rydlo J., Moravcová L. et Skálová H.",2011,"Ambrosia trifida u Velkého Oseka a Veltrub.","Muz. Současnost, Roztoky u Prahy, ser. natur., 26: 132-135."
100128,"Rydlo J. et Rydlo J. (jun.)",2011,"Změny ve flóře a vegetaci vodních makrofyt v Českém ráji po 10 letech.","Muz. Současnost, Roztoky u Prahy, ser. natur., 26: 136-162."
100129,"Petřík P., Chochel M., Křivský J. et Sádlo J.",2011,"Na Vinici - druhově bohatá lokalita suchých trávníků u Čelákovic.","Muz. Současnost, Roztoky u Prahy, ser. natur., 26: 163-171."
100130,"Dlouhá V. et Rydlo J.",2011,"Vodní makrofyta ve Volarském potoce.","Muz. Současnost, Roztoky u Prahy, ser. natur., 26: 172-176."
100131,"Rydlo J.",2011,"Příspěvek k poznání vodní vegetace na Domažlicku.","Muz. Současnost, Roztoky u Prahy, ser. natur., 26: 187-197."
100132,"Rydlo J. (jun.) et Rydlo J.",2011,"Příspěvek k poznání vodních makrofyt v Hostýnských vrších.","Muz. Současnost, Roztoky u Prahy, ser. natur., 26: 198-202."
100133,"Rydlo J.",2011,"Příspěvek k poznání vegetace vodních makrofyt na Třebíčsku.","Muz. Současnost, Roztoky u Prahy, ser. natur., 26: 203-209."
100134,"Rydlo J. (jun.) et Rydlo J.",2011,"Vodní makrofyta v mikulášovické části CHKO Labské pískovce.","Muz. Současnost, Roztoky u Prahy, ser. natur., 26: 210-221."
100135,"Rydlo J. (jun.) et Rydlo J.",2011,"Vodní makrofyta ve Veřovických vrších.","Muz. Současnost, Roztoky u Prahy, ser. natur., 26: 222-224."
101001,"Sofron J.",2004,"Březový lesík v Plzni-Bílé Hoře.","Calluna, Plzeň, 9/1 : 12-13."
