"SYNTAXON","SYNTAXON_NAME"
"XBH","Sisymbrion officinalis"
"XBH01","Hordeetum murini"
"XBH02","Hordeo murini-Brometum sterilis"
"XBH03","Linario-Brometum tectorum"
"XBI","Malvion neglectae"
"XBI01","Hyoscyamo nigri-Malvetum neglectae"
"XBI02","Malvetum pusillae"
"XBI03","Polygono arenastri-Chenopodietum muralis"
"XBI04","Malvo neglectae-Chenopodietum vulvariae"
"XBI05","Matricario discoideae-Anthemidetum cotulae"
"XBJ","Salsolion ruthenicae"
"XBJ01","Chenopodietum botryos"
"XBJ02","Bromo tectorum-Corispermetum leptopteri"
"XBJ03","Plantagini arenariae-Senecionetum viscosi"
"XBK","Eragrostion cilianensi-minoris"
"XBK01","Digitario sanguinalis-Eragrostietum minoris"
"XBK02","Portulacetum oleraceae"
"XBK03","Eragrostio poaeoidis-Panicetum capillaris"
"XBK04","Cynodontetum dactyli"
"XBK05","Setario pumilae-Hibiscetum trioni"
"XC","Artemisietea vulgaris"
"XCA","Onopordion acanthii"
"XCA01","Carduo acanthoidis-Onopordetum acanthii"
"XCA02","Salvio nemorosae-Marrubietum peregrini"
"XCA03","Potentillo argenteae-Artemisietum absinthii"
