"AUTHOR","AUTH_NAME"
"0833","Němec B."
"0834","Lachmanová Lenka"
"0835","Vrána Jan"
"0836","Harčarik Josef"
"0837","Dvořák Daniel"
"0838","Holubová = Michalcová Dana"
"0839","Těšitel Jakub"
"0840","Rydlo Jan"
"0841","Pantůček Roman"
"0842","Březnová M."
"0843","Dovrtěl J."
"0844","Pařízek M."
"0845","Šmeralová Zdeňka"
"0846","Ryznarová Alžběta"
"0847","Vašátko Jaroslav"
"0848","Kurka Rudolf"
"0849","Koutecká = Chaloupecká Eva"
"0850","Koutecký Petr"
"0851","Gonda Marek"
"0852","Sladký Jiří"
"0853","Tájek Přemysl"
"0854","Stanzel Jan"
"0855","Bartošová Martina"
"0856","Čečil František"
"0857","Procházka František"
"0858","Kovařík Jiří"
"0859","Wagner B."
"0860","Losová Jana"
"0861","Chocholová Jana"
"0862","Eiblová V."
"0863","Rada Pavel"
"0864","Sekera M."
"0865","Bufková Ivana"
"0866","Kalusová Veronika"
"0867","Nejezchlebová Martina"
"0868","Žáková Kristýna"
"0869","Hadincová Věra"
"0870","Horodyská Eliška"
"0871","Mazák Michal"
"0872","Sekerková Hana"
"0873","Dolejší Ctibor"
"0874","Šmarda Petr"
"0875","Náhlíková Tereza"
"0876","Nová Jana"
"0877","Plocek Alexander"
"0878","Richter F."
"0879","Novotná P."
"0880","Soušková P."
"0881","Stöcker Gerhard"
"0882","Burda Jan"
"0883","Sedláček Vojtěch"
"0884","Bucharová Anna"
"0885","Dostálek Tomáš"
"0886","Dvořák Václav"
"0887","Míková Jana"
"0888","Paulič Radim"
"0889","Rejzek Tomáš"
"0890","Truhlářová Kateřina"
"0891","Veleba Adam"
"0892","Veselý Pavel"
"0893","Čepelová Barbora"
"0894","Koloničná Martina"
"0895","Lepší Petr"
"0896","Posslová = Kůrová Jana"
"0897","Bubíková Kateřina"
"0898","Peterka Tomáš"
"0899","Šmerdová = Hettenbergerová Eva"
"0900","Sekulová Lucia"
"0901","Hašková V."
"0902","Kratochvílová Lucie"
"0903","Laburdová Jitka"
"0904","Lipner Tomáš"
"0905","Běťák Jan"
"0906","Opršalová Irena"
"0907","Pánková Hana"
"0908","Šafářová Lenka"
"0909","Vacková D."
"0910","Novák Pavel"
"0911","Járová Iveta"
"0912","Jírů Blanka"
"0913","Buriánek Václav"
"0914","Krátký Michal"
"0915","Dostalík Slavomír"
"0916","Münzbergová Zuzana"
"0917","Kozáková Markéta"
"0918","Rynkrová Denisa"
"0919","Bureš Slavomír"
"0920","Devánová Katarína"
"0921","Šmídová Anna"
"0922","Dočkalová Zuzana"
"0923","Melingerová M."
"0924","Macák Miroslav"
"0925","Hilbig Werner"
"0926","Juřica Jan"
"0927","Medonosová E."
"0928","Plunder Michal"
"0929","Albrecht Petr"
"0930","Nepraš Karel"
"0931","Hušková Blažena"
"0932","Dvořáková Jana"
"0933","Navrátilová Zdeňka"
"0934","Wittenberg Georg"
"0935","Špulák Ondřej"
"0936","Möllerová Jana"
"0937","Koubková Tereza"
"0938","Hejdová Monika"
"0939","Sojneková Martina"
"0940","Petřík Zbyněk"
"0941","Šefl Jiří"
